Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2020-09-13,10436.3654083593,10400.8554489956,10484.8758976063,10286.4274703269
BTC,2020-09-14,10313.06857949,10450.9495202941,10585.8806609663,10226.423921543
BTC,2020-09-15,10680.2975611652,10337.7125787577,10759.1361004772,10281.5801429775
BTC,2020-09-16,10829.5053071986,10683.0029092306,10944.6513147568,10636.1882565115
BTC,2020-09-17,11033.3835264817,10792.310232955,11103.7964773236,10683.7902626432
BTC,2020-09-18,10937.1112591004,10966.3864837182,11061.2846341274,10762.4173846999
BTC,2020-09-19,10933.9311623986,10947.2313749917,11035.0532006914,10830.8524712229
BTC,2020-09-20,11048.8792781597,10940.1344713816,11180.3953060606,10904.1996180411
BTC,2020-09-21,10852.9101389415,11085.4290035282,11085.4290035282,10773.3321939825
BTC,2020-09-22,10526.2028872017,10925.5107857605,10991.6945403675,10322.5948179629
BTC,2020-09-23,10531.1645626345,10423.2715453539,10579.3013124516,10371.916571773
BTC,2020-09-24,10260.0330124118,10536.3172190874,10541.1688820786,10209.0631341198
BTC,2020-09-25,10672.956808056,10241.1658885228,10712.4992539564,10200.8827845536
BTC,2020-09-26,10729.0696074184,10736.6523400888,10759.7110963479,10569.4345752446
BTC,2020-09-27,10741.4764675217,10692.4642665144,10777.5759148102,10657.5231488127
BTC,2020-09-28,10752.3454497531,10734.5012351537,10802.3740721686,10599.5884111564
BTC,2020-09-29,10863.0657239052,10776.304357975,10948.0626580689,10776.304357975
BTC,2020-09-30,10764.2843707196,10691.9785592244,10793.6034928953,10640.69414506
BTC,2020-10-01,10741.5795494951,10843.3882629583,10849.7307262805,10672.7950329819
BTC,2020-10-02,10626.6009564965,10778.8984931299,10931.6335029085,10470.6937235837
BTC,2020-10-03,10567.330195233,10624.9107244657,10670.7105642163,10386.9113843656
BTC,2020-10-04,10555.0286787811,10578.9195698628,10609.2374802825,10512.3393437875
BTC,2020-10-05,10660.6111826447,10559.3146596647,10702.511383231,10535.822715254
BTC,2020-10-06,10756.4045849204,10672.1654447003,10770.4630113184,10630.9564940911
BTC,2020-10-07,10589.6263935253,10793.1520609928,10798.9813154544,10543.4891054927
BTC,2020-10-08,10645.7547867781,10600.6607792141,10680.6412336426,10554.8416671625
BTC,2020-10-09,10897.5954315054,10669.0700425233,10949.3433682848,10544.3757953325
BTC,2020-10-10,11052.3950836712,10929.5926190082,11106.3344556469,10843.4742988665
BTC,2020-10-11,11360.8527168674,11059.8135659572,11484.1644844347,11058.740486372
BTC,2020-10-12,11334.0267420322,11293.2070111851,11436.2114811727,11282.5035579667
BTC,2020-10-13,11666.2117003214,11372.1099580183,11723.6438586845,11210.8613391446
BTC,2020-10-14,11443.7327918222,11534.6095670768,11564.6400594222,11333.5349188957
BTC,2020-10-15,11395.54736637,11431.094043731,11540.0649248376,11302.777035928
BTC,2020-10-16,11504.5490067109,11433.4575377533,11610.2503973752,11291.8980921613
BTC,2020-10-17,11355.1604394509,11511.9021994873,11544.4860094834,11227.0710565791
BTC,2020-10-18,11358.7063796297,11329.9947283176,11410.1636831398,11282.9478878572
BTC,2020-10-19,11471.002547787,11368.4123458737,11486.9854110308,11356.1741600839
BTC,2020-10-20,11776.5929973295,11514.6450997633,11825.6477430236,11419.0822862089
BTC,2020-10-21,11936.3629133377,11754.182025232,11993.9258790889,11693.7839412718
BTC,2020-10-22,13102.9344615485,11920.4113894318,13109.1659719966,11900.2138386315
